Windows PowerShell
Copyright (C) Microsoft Corporation. All rights reserved.

Install the latest PowerShell for new features and improvements! https://aka.ms/PSWindows

PS C:\Users\sacha> scoop list
There aren't any apps installed.
PS C:\Users\sacha> scoop search
Results from local buckets...

Name                                    Version                           Source Binaries
lean-cli                                1.2.4                             main
legit                                   1.2.0                             main
lego                                    4.11.0                            main
leiningen                               2.10.0                            main
lemminx                                 0.25.0                            main
less                                    633                               main
lessmsi                                 1.10.0                            main
lf                                      r29                               main
lftp                                    4.9.2                             main
libavif                                 0.9.0                             main
libjxl                                  0.8.1                             main
libvips                                 8.14.2                            main
libwebp                                 1.3.0                             main
libxml2                                 2.9.3                             main
lilypond                                2.24.1                            main
links                                   2.29                              main
liquibase                               4.21.1                            main
listmonk                                2.4.0                             main
llvm                                    16.0.4                            main
ln                                      0.2018.07.25                      main
loft                                    3.1.1                             main
lsd                                     0.23.1                            main
lua-for-windows                         5.1.5-52                          main
lua-language-server                     3.6.19                            main
lua                                     5.4.2                             main
luacheck                                1.1.0                             main
luajit                                  2.1.0.beta3.r475.g1c279127-1      main
luarocks                                3.9.2                             main
luau                                    0.577                             main
lux                                     0.18.0                            main
lwc                                     0.4.5                             main
lxc                                     5.13                              main
lychee                                  0.13.0                            main
lynx                                    2.9.0dev.12                       main
lz4                                     1.9.4                             main
lzip                                    1.22                              main
m4                                      1.4.14-1                          main
macchina                                6.1.8                             main
mach2                                   0.7.0.0                           main
mage                                    1.15.0                            main
magic-wormhole-rs                       0.6.0                             main
magic-wormhole                          0.12.0                            main
mailhog                                 1.0.1                             main
mailsend-go                             1.0.10                            main
mailsend                                1.19                              main
make                                    4.4.1                             main
mandoc                                  1.13.1                            main
mariadb                                 10.11.3                           main
marksman                                2023-04-12                        main
marp                                    2.5.0                             main
maven                                   3.9.2                             main
mdbook                                  0.4.29                            main
mdcat                                   2.0.3                             main
mediainfo                               23.04                             main
megacmd                                 1.6.3                             main
megatools                               1.11.1.20230212                   main
memcached                               1.6.19                            main
mercurial                               6.3.1                             main
meson                                   1.1.0                             main
metastore                               1.1.2-9-gdafa727                  main
micro                                   2.0.11                            main
micronaut                               3.9.2                             main
migrate                                 4.15.2                            main
miktex                                  23.4                              main
mill                                    0.10.12                           main
miller                                  6.7.0                             main
mingit-busybox                          2.40.1.windows.1                  main
mingit                                  2.40.1.windows.1                  main
mingw-nuwen                             18.0                              main
mingw-winlibs                           12.2.0-16.0.0-10.0.0-r5           main
mingw                                   12.2.0-rt_v10-rev2                main
minikube                                1.30.1                            main
minio-client                            2023-05-18T16-59-00Z              main
minio                                   2023-05-18T00-05-36Z              main
miniserve                               0.23.2                            main
minishift                               1.34.3                            main
minisign                                0.11                              main
mls-software-openssh                    9.3p1-1                           main
mob                                     4.4.2                             main
mockery                                 2.27.1                            main
modd                                    0.8                               main
modern7z                                1.8.12                            main
monero-cli                              0.18.2.2                          main
mongodb-database-tools                  100.7.0                           main
mongodb                                 6.3.1                             main
mono                                    6.12.0.182                        main
monolith                                2.7.0                             main
mosh-client                             1.3.2                             main
mosquitto                               2.0.15                            main
mozjpeg                                 4.1.1                             main
mpd                                     0.23.12                           main
mpg123                                  1.31.3                            main
mprocs                                  0.6.4                             main
mpxplay                                 1.66                              main
mro                                     4.0.2                             main
msival2                                 5.0.18362.1                       main
msmpi                                   10.1.1                            main
msys                                    rev13                             main
msys2                                   2023-03-18                        main
mtn                                     3.4.2                             main
multipass                               1.11.1                            main
mutagen                                 0.17.1                            main
mvndaemon                               1.0-m6                            main
mysql-workbench                         8.0.33                            main
mysql                                   8.0.33                            main
n-m3u8dl-cli                            3.0.2                             main
naiveproxy                              113.0.5672.62-2                   main
nali                                    0.7.3                             main
nanazip                                 2.0.450                           main
nancy                                   1.0.42                            main
nano                                    7.2-22.1                          main
nasm                                    2.16.01                           main
nats-server                             2.9.17                            main
navi                                    2.22.1                            main
nconvert                                7.136                             main
ncspot                                  0.13.2                            main
neko                                    2.3.0                             main
neo-cowsay                              2.0.4                             main
neofetch                                7.1.0                             main
neovim                                  0.9.0                             main
nerdctl                                 1.3.1                             main
nero-aac                                1.5.4.0                           main
netcat                                  1.12                              main
netcoredbg                              2.2.0-974                         main
nextdns                                 1.39.4                            main
nginx                                   1.23.4                            main
ngrok                                   3.3.0                             main
nim                                     1.6.12                            main
ninja-kitware                           1.11.1.g95dee.kitware.jobserver-1 main
ninja                                   1.11.1                            main
nircmd                                  2.86                              main
nixpacks                                1.7.0                             main
nmap                                    7.93                              main
nodejs-lts                              18.16.0                           main
nodejs                                  20.2.0                            main
nomad                                   1.5.5                             main
nomino                                  1.3.1                             main
noti                                    3.7.0                             main
nova                                    3.6.2                             main
nssm                                    2.24-103                          main
ntfs2btrfs                              20230501                          main
ntfy                                    2.5.0                             main
ntop                                    0.3.4                             main
nu                                      0.80.0                            main
nuget                                   6.5.0                             main
nunit-console                           3.16.3                            main
nunit-extension-nunit-project-loader    3.7.1                             main
nunit-extension-nunit-v2-driver         3.9.0                             main
nunit-extension-nunit-v2-result-writer  3.7.0                             main
nunit-extension-teamcity-event-listener 1.0.7                             main
nunit-extension-vs-project-loader       3.9.0                             main
nvm                                     1.1.11                            main
nvs                                     1.7.0                             main
nyagos                                  4.4.13_3                          main
objconv                                 2.53                              main
octave                                  8.2.0                             main
octopustools                            9.0.0                             main
octosql                                 0.12.1                            main
odo                                     3.10.0                            main
offlineinsiderenroll                    2.6.4                             main
oh-my-posh                              16.7.2                            main
oha                                     0.5.8                             main
okteto                                  2.15.3                            main
omnisharp-http                          1.39.6                            main
omnisharp                               1.39.6                            main
opa                                     0.52.0                            main
openapi-generator-cli                   6.6.0                             main
